股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
鑫玉龙,834795,2016-04-22,10.65,10.65,10.65,10.65,10,10650.0,0.0,0.0,0.0,0.0
鑫玉龙,834795,2016-04-25,10.12,10.12,10.12,10.12,10,10120.0,0.0,-4.98,-0.53,0.0
鑫玉龙,834795,2016-04-26,10.1,10.1,10.1,10.1,10,10100.0,0.0,-0.2,-0.02,0.0
鑫玉龙,834795,2016-04-27,10.08,10.08,10.08,10.08,20,20160.0,0.0,-0.2,-0.02,0.0
鑫玉龙,834795,2016-04-29,10.08,10.08,10.08,10.08,10,10080.0,0.0,0.0,0.0,0.0
鑫玉龙,834795,2016-05-03,9.58,10.07,10.07,9.58,30,29230.0,4.86,-0.1,-0.01,0.01
鑫玉龙,834795,2016-05-04,10.07,10.07,10.07,10.07,10,10070.0,0.0,0.0,0.0,0.0
鑫玉龙,834795,2016-05-05,10.07,10.07,10.07,10.07,20,20140.0,0.0,0.0,0.0,0.0
鑫玉龙,834795,2016-05-06,9.6,9.6,9.6,9.6,10,9600.0,0.0,-4.67,-0.47,0.0
鑫玉龙,834795,2016-05-09,9.64,9.64,9.64,9.64,10,9640.0,0.0,0.42,0.04,0.0
鑫玉龙,834795,2016-05-10,9.22,9.22,9.22,9.22,10,9220.0,0.0,-4.36,-0.42,0.0
鑫玉龙,834795,2016-05-11,9.3,9.3,9.3,9.3,10,9300.0,0.0,0.87,0.08,0.0
鑫玉龙,834795,2016-05-12,8.89,9.1,9.1,8.89,20,17990.0,2.26,-2.15,-0.2,0.0
鑫玉龙,834795,2016-05-13,8.7,8.7,8.7,8.7,20,17400.0,0.0,-4.4,-0.4,0.0
鑫玉龙,834795,2016-05-16,8.88,8.89,8.89,8.88,20,17770.0,0.11,2.18,0.19,0.0
鑫玉龙,834795,2016-05-18,8.9,8.9,8.9,8.9,10,8900.0,0.0,0.11,0.01,0.0
鑫玉龙,834795,2016-05-20,8.47,8.47,8.47,8.47,10,8470.0,0.0,-4.83,-0.43,0.0
鑫玉龙,834795,2016-05-23,8.68,8.68,8.68,8.68,10,8680.0,0.0,2.48,0.21,0.0
鑫玉龙,834795,2016-05-24,8.32,8.32,8.32,8.32,10,8320.0,0.0,-4.15,-0.36,0.0
鑫玉龙,834795,2016-05-26,8.5,8.5,8.5,8.48,40,33980.0,0.24,2.16,0.18,0.01
鑫玉龙,834795,2016-05-30,8.54,8.55,8.55,8.54,40,34170.0,0.12,0.59,0.05,0.01
