股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
斑马技术,ZBRA,2001-01-02,8.13,8.38,8.45,8.08,523199,0.0,0.0,0.0,0.0,1.72
斑马技术,ZBRA,2001-01-03,8.28,9.28,9.8,8.28,867600,0.0,18.14,10.74,0.9,2.85
斑马技术,ZBRA,2001-01-04,9.32,9.24,9.34,9.04,514701,0.0,3.23,-0.43,-0.04,1.69
斑马技术,ZBRA,2001-01-05,9.32,8.97,9.34,8.86,463300,0.0,5.19,-2.92,-0.27,1.52
斑马技术,ZBRA,2001-01-08,8.88,8.84,8.9,8.63,212600,0.0,3.01,-1.45,-0.13,0.7
斑马技术,ZBRA,2001-01-09,8.9,9.24,9.28,8.89,478701,0.0,4.41,4.52,0.4,1.57
斑马技术,ZBRA,2001-01-10,9.2,9.24,9.28,8.85,339100,0.0,4.65,0.0,0.0,1.11
斑马技术,ZBRA,2001-01-11,9.27,9.68,9.76,9.13,383200,0.0,6.82,4.76,0.44,1.26
斑马技术,ZBRA,2001-01-12,9.67,9.84,9.88,9.64,491600,0.0,2.48,1.65,0.16,1.61
斑马技术,ZBRA,2001-01-16,9.8,9.68,9.82,9.53,381400,0.0,2.95,-1.63,-0.16,1.25
斑马技术,ZBRA,2001-01-17,9.75,9.92,10.05,9.75,655200,0.0,3.1,2.48,0.24,2.15
斑马技术,ZBRA,2001-01-18,9.82,10.06,10.08,9.79,575901,0.0,2.92,1.41,0.14,1.89
斑马技术,ZBRA,2001-01-19,10.1,10.39,10.45,9.92,615899,0.0,5.27,3.28,0.33,2.02
斑马技术,ZBRA,2001-01-22,10.44,10.53,10.59,10.39,621000,0.0,1.92,1.35,0.14,2.04
斑马技术,ZBRA,2001-01-23,10.48,10.32,10.53,10.01,415400,0.0,4.94,-1.99,-0.21,1.36
斑马技术,ZBRA,2001-01-24,10.27,10.37,10.56,10.21,351999,0.0,3.39,0.48,0.05,1.15
斑马技术,ZBRA,2001-01-25,10.5,10.37,10.52,10.23,141399,0.0,2.8,0.0,0.0,0.46
斑马技术,ZBRA,2001-01-26,10.27,10.2,10.34,10.16,193700,0.0,1.74,-1.64,-0.17,0.64
斑马技术,ZBRA,2001-01-29,10.18,10.52,10.53,10.18,225200,0.0,3.43,3.14,0.32,0.74
斑马技术,ZBRA,2001-01-30,10.5,10.49,10.56,10.28,210301,0.0,2.66,-0.29,-0.03,0.69
斑马技术,ZBRA,2001-01-31,10.5,11.01,11.02,10.45,2462800,0.0,5.43,4.96,0.52,8.08
斑马技术,ZBRA,2001-02-01,10.81,10.89,10.9,10.76,805799,0.0,1.27,-1.09,-0.12,2.64
斑马技术,ZBRA,2001-02-02,10.84,10.89,11.17,10.84,417400,0.0,3.03,0.0,0.0,1.37
斑马技术,ZBRA,2001-02-05,10.94,10.8,11.04,10.78,250801,0.0,2.39,-0.83,-0.09,0.82
斑马技术,ZBRA,2001-02-06,10.79,10.94,11.0,10.79,189999,0.0,1.94,1.3,0.14,0.62
斑马技术,ZBRA,2001-02-07,10.86,11.16,11.27,10.64,308999,0.0,5.76,2.01,0.22,1.01
斑马技术,ZBRA,2001-02-08,11.05,10.26,11.07,10.21,1066100,0.0,7.71,-8.06,-0.9,3.5
斑马技术,ZBRA,2001-02-09,7.74,8.5,8.8,7.54,10401500,0.0,12.28,-17.15,-1.76,34.12
斑马技术,ZBRA,2001-02-12,8.32,8.28,8.5,8.03,1491201,0.0,5.53,-2.59,-0.22,4.89
斑马技术,ZBRA,2001-02-13,8.2,8.07,8.36,7.92,769000,0.0,5.31,-2.54,-0.21,2.52
斑马技术,ZBRA,2001-02-14,8.04,8.08,8.16,7.86,396999,0.0,3.72,0.12,0.01,1.3
斑马技术,ZBRA,2001-02-15,8.08,8.12,8.25,8.06,1141801,0.0,2.35,0.5,0.04,3.75
斑马技术,ZBRA,2001-02-16,8.12,8.01,8.12,7.91,700101,0.0,2.59,-1.35,-0.11,2.3
斑马技术,ZBRA,2001-02-20,8.06,8.06,8.18,7.91,1831000,0.0,3.37,0.62,0.05,6.01
斑马技术,ZBRA,2001-02-21,7.91,8.24,8.28,7.88,436300,0.0,4.96,2.23,0.18,1.43
斑马技术,ZBRA,2001-02-22,8.11,8.8,8.86,8.07,643500,0.0,9.59,6.8,0.56,2.11
斑马技术,ZBRA,2001-02-23,8.75,8.88,8.9,8.65,678899,0.0,2.84,0.91,0.08,2.23
斑马技术,ZBRA,2001-02-26,8.88,9.01,9.17,8.87,616799,0.0,3.38,1.46,0.13,2.02
斑马技术,ZBRA,2001-02-27,8.95,9.2,9.28,8.84,550100,0.0,4.88,2.11,0.19,1.8
斑马技术,ZBRA,2001-02-28,9.32,8.91,9.39,8.91,549801,0.0,5.22,-3.15,-0.29,1.8
