股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
硕腾,ZTS,2013-02-05,23.44,23.23,24.17,23.04,5013216,0.0,6.21,27.71,5.04,1.0
硕腾,ZTS,2013-02-06,23.17,23.22,23.62,22.94,2125801,0.0,2.93,-0.04,-0.01,0.43
硕腾,ZTS,2013-02-07,23.19,24.19,24.92,23.19,3798770,0.0,7.45,4.18,0.97,0.76
硕腾,ZTS,2013-02-08,24.5,25.24,25.67,24.49,2599132,0.0,4.88,4.34,1.05,0.52
硕腾,ZTS,2013-02-11,25.25,25.45,25.69,25.07,1482083,0.0,2.46,0.83,0.21,0.3
硕腾,ZTS,2013-02-12,25.59,25.93,26.19,25.34,1636929,0.0,3.34,1.89,0.48,0.33
硕腾,ZTS,2013-02-13,25.99,25.74,25.99,25.19,1269625,0.0,3.09,-0.73,-0.19,0.25
硕腾,ZTS,2013-02-14,25.58,25.46,25.64,24.96,2952656,0.0,2.64,-1.09,-0.28,0.59
硕腾,ZTS,2013-02-15,25.5,26.17,26.28,25.19,5415565,0.0,4.28,2.79,0.71,1.08
硕腾,ZTS,2013-02-19,26.21,26.03,26.26,25.76,1206319,0.0,1.91,-0.53,-0.14,0.24
硕腾,ZTS,2013-02-20,26.03,24.91,26.07,24.79,1842861,0.0,4.92,-4.3,-1.12,0.37
硕腾,ZTS,2013-02-21,24.69,24.75,24.99,24.05,3242213,0.0,3.77,-0.64,-0.16,0.65
硕腾,ZTS,2013-02-22,24.97,24.78,25.12,24.69,954407,0.0,1.74,0.12,0.03,0.19
硕腾,ZTS,2013-02-25,24.87,24.26,24.88,24.19,818858,0.0,2.78,-2.1,-0.52,0.16
硕腾,ZTS,2013-02-26,24.24,24.23,24.59,24.18,1048603,0.0,1.69,-0.12,-0.03,0.21
硕腾,ZTS,2013-02-27,24.19,24.51,25.24,24.19,1343563,0.0,4.33,1.16,0.28,0.27
硕腾,ZTS,2013-02-28,24.75,25.64,25.74,24.75,2989543,0.0,4.04,4.61,1.13,0.6
硕腾,ZTS,2013-03-01,25.55,26.79,26.89,25.34,2249317,0.0,6.05,4.49,1.15,0.45
硕腾,ZTS,2013-03-04,26.99,26.54,27.08,26.42,863651,0.0,2.46,-0.93,-0.25,0.17
硕腾,ZTS,2013-03-05,26.6,26.48,26.67,25.94,1413387,0.0,2.75,-0.23,-0.06,0.28
硕腾,ZTS,2013-03-06,26.53,26.04,26.57,26.04,801912,0.0,2.0,-1.66,-0.44,0.16
硕腾,ZTS,2013-03-07,26.14,26.75,26.87,25.75,1319747,0.0,4.3,2.73,0.71,0.26
硕腾,ZTS,2013-03-08,26.22,26.28,26.88,25.99,1540964,0.0,3.33,-1.76,-0.47,0.31
硕腾,ZTS,2013-03-11,26.16,26.37,26.45,25.44,1729308,0.0,3.84,0.34,0.09,0.35
硕腾,ZTS,2013-03-12,26.31,26.01,26.43,25.79,1557570,0.0,2.43,-1.37,-0.36,0.31
硕腾,ZTS,2013-03-13,26.09,26.19,26.25,25.27,2240952,0.0,3.77,0.69,0.18,0.45
硕腾,ZTS,2013-03-14,26.52,26.83,27.61,26.48,1865195,0.0,4.31,2.44,0.64,0.37
硕腾,ZTS,2013-03-15,26.89,25.63,27.03,25.5,2411694,0.0,5.7,-4.47,-1.2,0.48
硕腾,ZTS,2013-03-18,24.94,25.03,25.13,24.83,2371964,0.0,1.17,-2.34,-0.6,0.47
硕腾,ZTS,2013-03-19,24.99,24.99,25.61,24.51,1335897,0.0,4.39,-0.16,-0.04,0.27
硕腾,ZTS,2013-03-20,25.09,25.7,25.73,24.69,1944682,0.0,4.16,2.84,0.71,0.39
硕腾,ZTS,2013-03-21,26.09,25.66,26.19,25.48,514497,0.0,2.76,-0.16,-0.04,0.1
硕腾,ZTS,2013-03-22,25.74,25.31,25.94,24.92,763527,0.0,3.98,-1.36,-0.35,0.15
硕腾,ZTS,2013-03-25,25.67,24.65,25.67,24.44,1324463,0.0,4.86,-2.61,-0.66,0.26
硕腾,ZTS,2013-03-26,24.92,24.7,24.98,24.19,1396456,0.0,3.2,0.2,0.05,0.28
硕腾,ZTS,2013-03-27,24.57,24.93,25.08,24.25,1896725,0.0,3.36,0.93,0.23,0.38
硕腾,ZTS,2013-03-28,25.04,25.59,25.69,24.82,6256743,0.0,3.49,2.65,0.66,1.25
硕腾,ZTS,2013-04-01,25.61,24.78,25.78,24.62,1466213,0.0,4.53,-3.17,-0.81,0.29
硕腾,ZTS,2013-04-02,24.85,24.74,25.32,24.65,712189,0.0,2.7,-0.16,-0.04,0.14
硕腾,ZTS,2013-04-03,24.86,24.72,25.17,24.55,1409612,0.0,2.51,-0.08,-0.02,0.28
硕腾,ZTS,2013-04-04,24.6,24.03,24.69,23.9,1946104,0.0,3.2,-2.79,-0.69,0.39
硕腾,ZTS,2013-04-05,23.92,24.15,24.26,22.76,3959344,0.0,6.24,0.5,0.12,0.79
硕腾,ZTS,2013-04-08,24.14,25.11,25.17,23.96,1965108,0.0,5.01,3.98,0.96,0.39
硕腾,ZTS,2013-04-09,25.24,25.63,25.78,24.75,2002379,0.0,4.1,2.07,0.52,0.4
硕腾,ZTS,2013-04-10,25.95,25.34,25.95,25.17,969452,0.0,3.04,-1.13,-0.29,0.19
硕腾,ZTS,2013-04-11,25.41,25.35,25.43,25.06,1826538,0.0,1.46,0.04,0.01,0.37
硕腾,ZTS,2013-04-12,25.16,25.42,25.54,24.79,723441,0.0,2.96,0.28,0.07,0.14
硕腾,ZTS,2013-04-15,25.26,24.43,25.42,24.36,839485,0.0,4.17,-3.89,-0.99,0.17
硕腾,ZTS,2013-04-16,24.55,25.4,25.56,24.48,2271124,0.0,4.42,3.97,0.97,0.45
硕腾,ZTS,2013-04-17,25.17,25.08,25.42,24.36,3140912,0.0,4.17,-1.26,-0.32,0.63
硕腾,ZTS,2013-04-18,25.29,24.66,25.29,24.57,799890,0.0,2.87,-1.67,-0.42,0.16
硕腾,ZTS,2013-04-19,24.9,24.9,24.98,24.0,2159266,0.0,3.97,0.97,0.24,0.43
硕腾,ZTS,2013-04-22,25.09,24.85,25.09,24.41,922060,0.0,2.73,-0.2,-0.05,0.18
硕腾,ZTS,2013-04-23,24.97,23.89,25.15,23.69,2731743,0.0,5.88,-3.86,-0.96,0.55
硕腾,ZTS,2013-04-24,23.82,22.81,23.88,22.61,4149243,0.0,5.32,-4.52,-1.08,0.83
硕腾,ZTS,2013-04-25,23.12,23.74,24.18,22.94,1520556,0.0,5.44,4.08,0.93,0.3
硕腾,ZTS,2013-04-26,23.8,24.83,24.87,23.8,1421727,0.0,4.51,4.59,1.09,0.28
硕腾,ZTS,2013-04-29,25.21,24.92,25.21,24.43,1711393,0.0,3.14,0.36,0.09,0.34
硕腾,ZTS,2013-04-30,25.94,25.28,27.0,25.19,3390321,0.0,7.26,1.44,0.36,0.68
硕腾,ZTS,2013-05-01,25.23,25.65,25.77,24.92,1394436,0.0,3.36,1.46,0.37,0.28
硕腾,ZTS,2013-05-02,25.64,25.54,26.13,25.37,695541,0.0,2.96,-0.43,-0.11,0.14
硕腾,ZTS,2013-05-03,25.88,25.47,25.9,25.26,998866,0.0,2.51,-0.27,-0.07,0.2
