,股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,雪佛龙,CVX,2000-01-03,-37.13,-38.26,-37.13,-38.79,4387600,0.0,-4.52,-4.08,-1.5,0.68
1,雪佛龙,CVX,2000-01-04,-38.6,-38.26,-38.01,-38.82,3702400,0.0,-2.12,0.0,0.0,0.58
2,雪佛龙,CVX,2000-01-05,-38.54,-37.51,-36.79,-38.54,5567600,0.0,-4.57,1.96,0.75,0.87
3,雪佛龙,CVX,2000-01-06,-37.41,-35.69,-35.47,-37.41,4353400,0.0,-5.17,4.85,1.82,0.68
4,雪佛龙,CVX,2000-01-07,-35.07,-34.91,-34.63,-35.57,4487400,0.0,-2.63,2.19,0.78,0.7
5,雪佛龙,CVX,2000-01-10,-35.04,-36.13,-35.04,-36.22,2104800,0.0,-3.38,-3.49,-1.22,0.33
6,雪佛龙,CVX,2000-01-11,-36.13,-36.54,-35.63,-36.6,2791200,0.0,-2.68,-1.13,-0.41,0.43
7,雪佛龙,CVX,2000-01-12,-36.54,-36.69,-36.26,-37.13,2992600,0.0,-2.38,-0.41,-0.15,0.47
8,雪佛龙,CVX,2000-01-13,-36.82,-36.29,-35.44,-37.01,3253400,0.0,-4.28,1.09,0.4,0.51
9,雪佛龙,CVX,2000-01-14,-37.16,-36.57,-36.35,-37.29,3673000,0.0,-2.59,-0.77,-0.28,0.57
10,雪佛龙,CVX,2000-01-18,-36.32,-35.41,-35.32,-36.6,4317400,0.0,-3.5,3.17,1.16,0.67
11,雪佛龙,CVX,2000-01-19,-35.57,-36.1,-35.57,-36.19,5027000,0.0,-1.75,-1.95,-0.69,0.78
12,雪佛龙,CVX,2000-01-20,-35.97,-36.32,-35.97,-36.66,3419800,0.0,-1.91,-0.61,-0.22,0.53
13,雪佛龙,CVX,2000-01-21,-36.13,-35.79,-35.13,-36.16,3947800,0.0,-2.84,1.46,0.53,0.61
14,雪佛龙,CVX,2000-01-24,-35.32,-35.66,-34.88,-36.1,3536600,0.0,-3.41,0.36,0.13,0.55
15,雪佛龙,CVX,2000-01-25,-35.66,-35.79,-34.82,-36.26,3854600,0.0,-4.04,-0.36,-0.13,0.6
16,雪佛龙,CVX,2000-01-26,-35.44,-36.19,-35.19,-36.82,2681000,0.0,-4.55,-1.12,-0.4,0.42
17,雪佛龙,CVX,2000-01-27,-36.41,-37.91,-36.26,-38.29,3550800,0.0,-5.61,-4.75,-1.72,0.55
18,雪佛龙,CVX,2000-01-28,-38.29,-38.79,-38.22,-39.13,4066000,0.0,-2.4,-2.32,-0.88,0.63
19,雪佛龙,CVX,2000-01-31,-39.04,-38.26,-38.1,-39.69,3660600,0.0,-4.1,1.37,0.53,0.57
