,股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,陶氏,DOW,2019-04-02,41.82,42.95,44.09,41.0,17414153,974260720.0,0.0,0.0,0.0,2.32
1,陶氏,DOW,2019-04-03,43.78,43.58,43.9,42.21,15066169,850377168.0,3.93,1.47,0.63,2.01
2,陶氏,DOW,2019-04-04,43.9,46.41,47.22,43.8,13311868,790011920.0,7.85,6.49,2.83,1.77
3,陶氏,DOW,2019-04-05,45.09,43.94,45.68,42.97,17000788,974025776.0,5.84,-5.32,-2.47,2.27
4,陶氏,DOW,2019-04-08,43.2,43.85,45.09,42.97,10764569,619279824.0,4.82,-0.2,-0.09,1.44
5,陶氏,DOW,2019-04-09,43.5,42.97,43.9,42.78,9179922,519428960.0,2.55,-2.01,-0.88,1.22
6,陶氏,DOW,2019-04-10,42.69,42.41,43.11,41.8,9081860,504797600.0,3.05,-1.3,-0.56,1.21
7,陶氏,DOW,2019-04-11,42.4,41.59,42.91,41.53,7346094,407566688.0,3.25,-1.93,-0.82,0.98
8,陶氏,DOW,2019-04-12,42.63,45.0,45.03,42.63,9281662,532449232.0,5.77,8.2,3.41,1.24
9,陶氏,DOW,2019-04-15,45.27,44.48,45.55,43.99,5727269,332000832.0,3.47,-1.16,-0.52,0.76
10,陶氏,DOW,2019-04-16,45.41,45.2,45.69,44.54,6681567,391589744.0,2.59,1.62,0.72,0.89
11,陶氏,DOW,2019-04-17,45.65,45.02,45.75,44.9,6420663,375512704.0,1.88,-0.4,-0.18,0.86
12,陶氏,DOW,2019-04-18,45.06,44.47,45.31,44.25,5178855,299879152.0,2.35,-1.22,-0.55,0.69
13,陶氏,DOW,2019-04-22,44.18,44.59,45.11,43.96,4401749,255067203.0,2.59,0.27,0.12,0.59
14,陶氏,DOW,2019-04-23,43.99,44.34,44.54,43.7,5687232,327172864.0,1.88,-0.56,-0.25,0.76
15,陶氏,DOW,2019-04-24,44.19,42.68,44.59,42.57,5431323,307833696.0,4.56,-3.74,-1.66,0.72
16,陶氏,DOW,2019-04-25,42.46,42.03,42.68,41.52,6260460,346683680.0,2.72,-1.52,-0.65,0.83
17,陶氏,DOW,2019-04-26,42.0,41.95,42.3,41.65,4009795,221610470.0,1.55,-0.19,-0.08,0.53
18,陶氏,DOW,2019-04-29,41.75,42.2,42.39,41.5,5935245,327876704.0,2.12,0.6,0.25,0.79
19,陶氏,DOW,2019-04-30,42.46,43.43,43.91,42.3,6454064,364232384.0,3.82,2.91,1.23,0.86
20,陶氏,DOW,2019-05-01,43.52,42.83,44.18,42.58,7644453,433917200.0,3.68,-1.38,-0.6,1.02
21,陶氏,DOW,2019-05-02,42.24,39.4,43.19,38.73,13932682,745349152.0,10.41,-8.01,-3.43,1.86
22,陶氏,DOW,2019-05-03,39.9,40.0,40.05,38.42,7401851,390543424.0,4.14,1.52,0.6,0.99
23,陶氏,DOW,2019-05-06,38.85,40.16,40.73,38.4,6089501,324337712.0,5.83,0.4,0.16,0.81
24,陶氏,DOW,2019-05-07,39.56,39.65,40.03,39.35,7330785,388306640.0,1.69,-1.27,-0.51,0.98
25,陶氏,DOW,2019-05-08,40.03,39.18,40.1,39.01,5390685,283898400.0,2.75,-1.19,-0.47,0.72
26,陶氏,DOW,2019-05-09,38.96,39.63,39.84,38.25,4579758,239832970.0,4.06,1.15,0.45,0.61
27,陶氏,DOW,2019-05-10,39.64,39.77,40.41,39.19,4758371,252460707.0,3.08,0.35,0.14,0.64
28,陶氏,DOW,2019-05-13,38.98,37.65,39.25,37.46,4213102,216289125.0,4.5,-5.33,-2.12,0.56
29,陶氏,DOW,2019-05-14,38.03,39.18,39.7,37.54,4204519,220184782.0,5.74,4.06,1.53,0.56
30,陶氏,DOW,2019-05-15,38.68,39.65,40.03,38.37,2928861,154681609.0,4.24,1.2,0.47,0.39
31,陶氏,DOW,2019-05-16,39.99,39.68,40.25,39.43,3689745,195995896.0,2.07,0.08,0.03,0.49
32,陶氏,DOW,2019-05-17,39.04,37.5,39.22,37.36,4440775,227878958.0,4.69,-5.49,-2.18,0.59
33,陶氏,DOW,2019-05-20,37.1,36.78,37.24,36.62,5168422,259367678.0,1.65,-1.92,-0.72,0.69
34,陶氏,DOW,2019-05-21,36.98,37.33,37.89,36.72,4968460,251147971.0,3.18,1.5,0.55,0.66
35,陶氏,DOW,2019-05-22,37.16,36.91,37.31,36.67,3019120,151559553.0,1.71,-1.13,-0.42,0.4
36,陶氏,DOW,2019-05-23,36.2,35.41,36.56,34.91,4919173,239876116.0,4.47,-4.06,-1.5,0.66
