,股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,霍尼韦尔(US),HON,2021-05-11,217.08,218.18,218.28,213.27,3380290,769775936.0,0.0,0.0,0.0,0.49
1,霍尼韦尔(US),HON,2021-05-12,215.66,209.06,216.28,208.91,4197103,931100960.0,3.38,-4.18,-9.12,0.6
2,霍尼韦尔(US),HON,2021-05-13,208.78,213.63,214.82,208.69,2905724,649297904.0,2.93,2.19,4.57,0.42
3,霍尼韦尔(US),HON,2021-05-14,215.69,217.31,218.18,214.8,2081307,472615536.0,1.58,1.72,3.68,0.3
4,霍尼韦尔(US),HON,2021-05-17,217.81,216.42,217.81,214.69,2058051,465647376.0,1.44,-0.41,-0.89,0.3
5,霍尼韦尔(US),HON,2021-05-18,215.32,212.27,215.94,212.18,2400421,535451744.0,1.74,-1.92,-4.15,0.35
6,霍尼韦尔(US),HON,2021-05-19,210.62,211.27,211.42,206.73,3050216,670593952.0,2.21,-0.47,-1.0,0.44
7,霍尼韦尔(US),HON,2021-05-20,210.44,212.08,212.84,210.42,2207835,489399952.0,1.15,0.38,0.81,0.32
8,霍尼韦尔(US),HON,2021-05-21,212.95,213.15,215.58,212.61,2274600,508810576.0,1.4,0.5,1.07,0.33
9,霍尼韦尔(US),HON,2021-05-24,214.45,214.95,215.47,213.12,1813542,407663008.0,1.1,0.84,1.8,0.26
10,霍尼韦尔(US),HON,2021-05-25,214.95,213.99,215.66,213.34,1804635,404455968.0,1.08,-0.45,-0.96,0.26
11,霍尼韦尔(US),HON,2021-05-26,214.91,214.22,214.94,213.26,1748116,391776496.0,0.79,0.11,0.23,0.25
12,霍尼韦尔(US),HON,2021-05-27,216.64,221.22,221.69,216.54,6647173,1533511168.0,2.4,3.27,7.0,0.96
13,霍尼韦尔(US),HON,2021-05-28,221.95,220.86,222.19,220.26,2529345,584547568.0,0.87,-0.16,-0.36,0.36
14,霍尼韦尔(US),HON,2021-06-01,222.84,222.9,223.64,221.46,2234146,519721888.0,0.99,0.92,2.04,0.32
15,霍尼韦尔(US),HON,2021-06-02,223.97,220.69,223.97,220.45,2225389,514607424.0,1.58,-0.99,-2.21,0.32
16,霍尼韦尔(US),HON,2021-06-03,220.66,219.15,221.59,218.42,2321294,533103120.0,1.44,-0.7,-1.54,0.33
17,霍尼韦尔(US),HON,2021-06-04,219.71,220.0,220.7,219.14,1299971,299040608.0,0.71,0.39,0.85,0.19
18,霍尼韦尔(US),HON,2021-06-07,219.46,218.14,220.31,217.48,2032479,464412112.0,1.29,-0.85,-1.86,0.29
19,霍尼韦尔(US),HON,2021-06-08,218.26,219.76,220.77,217.39,1720583,394992864.0,1.55,0.74,1.62,0.25
20,霍尼韦尔(US),HON,2021-06-09,219.77,217.76,220.35,217.55,1973581,450230928.0,1.27,-0.91,-2.0,0.28
21,霍尼韦尔(US),HON,2021-06-10,219.07,216.2,220.01,216.1,2223555,504712768.0,1.8,-0.72,-1.56,0.32
22,霍尼韦尔(US),HON,2021-06-11,217.7,215.13,218.28,213.91,1998905,450489856.0,2.02,-0.49,-1.07,0.29
23,霍尼韦尔(US),HON,2021-06-14,214.87,213.12,214.9,212.68,2586062,577386672.0,1.03,-0.93,-2.01,0.37
24,霍尼韦尔(US),HON,2021-06-15,212.97,212.45,213.81,211.62,2063234,459706448.0,1.03,-0.31,-0.67,0.3
25,霍尼韦尔(US),HON,2021-06-16,212.45,208.94,212.85,208.55,3052341,672318416.0,2.02,-1.65,-3.51,0.44
26,霍尼韦尔(US),HON,2021-06-17,209.15,206.24,210.15,204.68,2425675,525613344.0,2.62,-1.29,-2.7,0.35
27,霍尼韦尔(US),HON,2021-06-18,203.55,202.45,205.24,201.91,5426523,1157551904.0,1.61,-1.84,-3.79,0.78
28,霍尼韦尔(US),HON,2021-06-21,204.69,205.95,207.38,204.29,2872355,621299328.0,1.53,1.73,3.5,0.41
29,霍尼韦尔(US),HON,2021-06-22,205.63,205.44,206.75,204.83,2111039,455610192.0,0.93,-0.25,-0.51,0.3
30,霍尼韦尔(US),HON,2021-06-23,205.62,204.61,206.32,204.51,2234542,480858816.0,0.88,-0.4,-0.83,0.32
31,霍尼韦尔(US),HON,2021-06-24,205.74,207.64,207.99,204.6,3364493,727324832.0,1.66,1.48,3.03,0.48
32,霍尼韦尔(US),HON,2021-06-25,207.82,208.69,210.12,207.28,5219111,1143381744.0,1.37,0.51,1.05,0.75
33,霍尼韦尔(US),HON,2021-06-28,209.07,206.74,210.06,206.25,2360334,512366288.0,1.83,-0.93,-1.95,0.34
34,霍尼韦尔(US),HON,2021-06-29,206.98,205.9,208.31,205.37,3001976,650111936.0,1.42,-0.41,-0.84,0.43
35,霍尼韦尔(US),HON,2021-06-30,205.48,209.3,209.81,205.48,2866404,626210384.0,2.1,1.65,3.4,0.42
36,霍尼韦尔(US),HON,2021-07-01,210.53,210.57,211.21,209.61,1630291,359547232.0,0.76,0.61,1.27,0.24
37,霍尼韦尔(US),HON,2021-07-02,210.94,211.27,212.0,209.66,1543562,341406496.0,1.11,0.33,0.7,0.22
38,霍尼韦尔(US),HON,2021-07-06,210.04,208.51,210.9,205.88,1935849,422384992.0,2.38,-1.31,-2.76,0.28
39,霍尼韦尔(US),HON,2021-07-07,207.98,210.69,211.54,207.96,1563360,344402240.0,1.72,1.05,2.18,0.23
40,霍尼韦尔(US),HON,2021-07-08,208.51,209.27,210.66,207.08,2404704,527294032.0,1.7,-0.67,-1.42,0.35
41,霍尼韦尔(US),HON,2021-07-09,210.98,214.29,214.55,210.69,2161837,483894768.0,1.84,2.4,5.02,0.31
42,霍尼韦尔(US),HON,2021-07-12,212.83,214.97,215.65,212.08,2066264,464406096.0,1.67,0.32,0.68,0.3
43,霍尼韦尔(US),HON,2021-07-13,215.8,214.03,215.8,213.66,1417408,317994768.0,1.0,-0.44,-0.94,0.21
44,霍尼韦尔(US),HON,2021-07-14,214.12,217.72,218.71,214.12,2631846,599142064.0,2.14,1.72,3.69,0.38
45,霍尼韦尔(US),HON,2021-07-15,219.95,222.76,223.38,218.99,5546799,1288128944.0,2.02,2.31,5.04,0.8
46,霍尼韦尔(US),HON,2021-07-16,222.14,220.28,223.81,219.57,3592832,831074736.0,1.9,-1.11,-2.48,0.52
47,霍尼韦尔(US),HON,2021-07-19,215.62,210.61,216.56,209.96,6107148,1353908400.0,3.0,-4.39,-9.67,0.88
48,霍尼韦尔(US),HON,2021-07-20,211.59,219.61,221.22,211.45,28237085,6475246592.0,4.64,4.27,9.0,4.09
49,霍尼韦尔(US),HON,2021-07-21,219.15,221.8,222.02,218.68,4554650,1053867808.0,1.52,1.0,2.19,0.66
