,股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,耐克,NKE,2001-01-02,-8.27,-8.31,-8.22,-8.34,7248400,0.0,0.0,0.0,0.0,2.69
1,耐克,NKE,2001-01-03,-8.49,-8.19,-8.19,-8.52,7645800,0.0,-3.97,1.44,0.12,2.83
2,耐克,NKE,2001-01-04,-8.21,-8.1,-8.1,-8.23,7277000,0.0,-1.59,1.1,0.09,2.7
3,耐克,NKE,2001-01-05,-8.11,-8.26,-8.09,-8.26,5729400,0.0,-2.1,-1.98,-0.16,2.12
4,耐克,NKE,2001-01-08,-8.26,-8.09,-8.07,-8.31,4261600,0.0,-2.91,2.06,0.17,1.58
5,耐克,NKE,2001-01-09,-8.13,-7.98,-7.94,-8.16,7685400,0.0,-2.72,1.36,0.11,2.85
6,耐克,NKE,2001-01-10,-7.98,-8.06,-7.96,-8.07,3957200,0.0,-1.38,-1.0,-0.08,1.47
7,耐克,NKE,2001-01-11,-8.05,-8.08,-8.05,-8.14,3014400,0.0,-1.12,-0.25,-0.02,1.12
8,耐克,NKE,2001-01-12,-8.12,-8.16,-8.11,-8.18,2547000,0.0,-0.87,-0.99,-0.08,0.94
9,耐克,NKE,2001-01-16,-8.17,-8.21,-8.14,-8.27,2183000,0.0,-1.59,-0.61,-0.05,0.81
10,耐克,NKE,2001-01-17,-8.19,-8.2,-8.13,-8.23,3146800,0.0,-1.22,0.12,0.01,1.17
11,耐克,NKE,2001-01-18,-8.2,-8.19,-8.15,-8.21,1701400,0.0,-0.73,0.12,0.01,0.63
12,耐克,NKE,2001-01-19,-8.22,-8.41,-8.19,-8.44,5211000,0.0,-3.05,-2.69,-0.22,1.93
13,耐克,NKE,2001-01-22,-8.51,-8.38,-8.3,-8.51,2264800,0.0,-2.5,0.36,0.03,0.84
14,耐克,NKE,2001-01-23,-8.35,-8.37,-8.34,-8.44,2050800,0.0,-1.19,0.12,0.01,0.76
15,耐克,NKE,2001-01-24,-8.38,-8.42,-8.33,-8.46,2386600,0.0,-1.55,-0.6,-0.05,0.88
16,耐克,NKE,2001-01-25,-8.44,-8.3,-8.29,-8.44,2209200,0.0,-1.78,1.43,0.12,0.82
